Department,Subject,Master Subject,Title,Level,Pre/Co-Requisites
2,2.75,2.75,Medical Device Design,G,"2.008, 6.101, 6.111, 6.115, 22.071, or permission of instructor"
2,2.75,2.75,Medical Device Design,U,"2.008, 6.101, 6.111, 6.115, 22.071, or permission of instructor"
2,2.752,2.752,Developing Mechanical Products,U,"2.750, 2.009, or permission of instructor"
2,2.753,2.752,Developing Mechanical Products,G,"2.750, 2.009, or permission of instructor"
2,2.76,2.76,Global Engineering,G,2.008 or permission of instructor
2,2.76,2.76,Global Engineering,U,2.008 or permission of instructor
2,2.77,2.7,Precision Product Design,G,2.008
2,2.772,20.11,Thermodyncs of Biomolec Sys,U,"GIR:CAL2, GIR:CHEM, GIR:PHY1"
2,2.778,2.778,Large & Complex Systems Design,G,permission of instructor
2,2.78,6.811,Princ and Pract of Assist Tech,U,Permission of instructor
2,2.782,2.782,Design Med Devices & Implants,G,"GIR:CHEM, GIR:BIOL, GIR:PHY1; or permission of instructor"
2,2.785,2.785,Cell-Matrix Mechanics,G,"GIR:CHEM, GIR:BIOL, 2.001; or permission of instructor"
2,2.79,2.79,Biomaterials: Tissue Interact,G,"GIR:CHEM, GIR:BIOL, GIR:PHY1; or permission of instructor"
2,2.791,6.021,Cellular Neuro and Comp,U,"GIR:PHY2; 18.03; 2.005, 6.002, 6.003, 10.301, 20.110, or permission of instructor"
2,2.792,6.022,Quant  Systems Physiology,U,"GIR:PHY2, 18.03, or permission of instructor"
2,2.793,20.33,"Fields, Forces and Flows",U,"GIR:PHY2; 2.005, 6.021, or permission of instructor, [20.309]"
2,2.794,6.021,Cellular Neuro and Comp,G,"GIR:PHY2; 18.03; 2.005, 6.002, 6.003, 10.301, 20.110, or permission of instructor"
2,2.795,20.43,"Fields,Forces,Flows: Biol Sys",G,Permission of instructor
2,2.796,6.022,Quant Phys:Organ Transport Sys,G,2.006 or 6.013; 6.021
2,2.797,20.31,"Molec, Cell, & Tissue Biomechs",U,2.370 or 2.772J; 18.03 or 3.016; GIR:BIOL
2,2.798,20.41,Molecular Cell Tissue Biomechs,G,"GIR:BIOL; 2.002, 2.006, 6.013, 10.301, or 10.302"
2,2.799,2.799,The Cell as a Machine,G,"5.07, 18.03, or 7.05"
2,2.81,2.81,Mfg Processes and Systems,G,"2.001, 2.006, 2.008"
2,2.813,2.813,"Energy, Materials, & Mnfctrng",U,2.008 or permission of instructor
2,2.821,3.371,Structural Materials,G,Permission of instructor
2,2.83,2.813,"Energy, Materials & Mfg",G,2.008 or permission of instructor
2,2.83,2.83,Control of Manufacturing Proc,G,"2.008, 6.041B, 6.152, or 15.064"
2,2.851,15.066,Sys Optimization & Analys: Ops,G,GIR:CAL2
2,2.852,2.852,Manufacturing Systems Analysis,G,6.041B or permission of instructor
2,2.853,2.853,Intro to Manufacturing Systems,U,2.008
2,2.854,2.853,Intro to Manufacturing Systems,G,Undergraduate mathematics
2,2.888,2.888,Global Mfg & Entrepreneurship,G,
2,2.89,15.792,Global Oper Ldrship Sem,G,
2,2.9,10.01,Ethics for Engineers,U,
2,2.912,15.373,Venture Engineering,U,
2,2.913,6.907,Entrprnrshp in Engineering,U,
2,2.916,10.407,Funding Strategies for Startup,G,
2,2.96,2.96,Management in Engineering,U,
2,2.961,2.961,Management in Engineering,G,
2,2.965,SCM.265,Global Supply Chain Mgmt,G,"1.260, 1.261, 15.761, 15.778, or permission of instructor"
2,2.978,5.95,Instruction in Teaching Engr,G,Permission of instructor
2,2.979,2.979,Undergraduate Teaching,U,
